marker_EOI_content_after_num,marker_DQT_num,marker_DHT_num,file_markers_num,marker_DQT_size_max,marker_DHT_size_max,file_size,marker_COM_size_max,marker_APP1_size_max,marker_APP12_size_max,target
0,1,1,37,132,418,39781,0,9072,0,120
0,2,4,12,67,58,10311,0,0,0,120
0,2,4,10,67,181,3754,0,0,0,120
4815,2,4,12,67,181,7308,62,0,0,120
0,1,1,9,132,196,2626,0,0,17,120
62753,2,4,12,67,60,69348,12,0,0,120
71524,3,3,129,132,418,168853,0,15025,0,120
0,2,4,12,67,181,329686,59,0,0,120
0,1,1,9,132,85,593,0,0,17,120
0,0,1,9,0,162,23789,37910,0,17,120
58,2,4,12,67,181,52312,59,0,0,120
0,2,4,11,67,72,11275,0,0,0,120
0,1,1,13,132,418,10904,0,4042,0,120
0,1,1,9,132,230,77237,0,0,17,120
0,2,4,11,67,49,1763,0,0,0,120
60,2,4,12,67,181,1965,59,0,0,120
0,1,1,10,132,146,7413,0,877,17,120
0,1,1,10,132,142,2948,0,877,17,120
0,2,4,12,67,181,13168,59,0,0,120
0,2,4,13,67,83,82554,0,221,0,120
0,1,1,9,132,135,1607,0,0,17,120
0,1,1,10,132,218,61805,0,879,17,120
0,2,4,12,67,181,1434,59,0,0,120
0,2,4,11,67,75,10153,0,0,0,120
0,0,1,9,0,162,60889,37910,0,17,120
0,2,4,12,67,181,1613,60,0,0,120
0,0,1,9,0,162,4098,37910,0,17,120
0,1,1,9,132,242,99835,0,0,17,120
0,1,1,10,132,168,10962,0,952,17,120
0,2,10,26,67,55,5363,0,0,0,120
251,2,4,13,67,62,10751,0,811,0,120
21752,2,4,12,67,181,24430,59,0,0,120
0,1,1,18,132,227,3959,0,0,17,120
0,2,4,11,67,88,720501,0,0,0,120
0,0,1,9,0,162,4098,37910,0,17,120
0,1,1,10,132,163,33848,0,793,17,120
0,2,4,12,67,181,3504,0,1028,0,120
0,2,4,12,67,181,559827,59,0,0,120
0,2,4,12,67,63,6944,15,0,0,120
96765,2,4,12,67,181,307087,59,0,0,120
76,1,1,95,132,418,146029,0,0,0,120
0,0,0,3,0,0,37,0,0,0,120
4861,2,4,12,67,181,188291,60,0,0,120
0,2,4,12,67,79,19321,0,14702,0,120
0,2,4,11,67,69,10264,0,0,0,120
0,2,4,11,67,58,11385,0,0,0,120
0,2,4,11,67,81,18904,0,0,0,120
90023,2,4,12,67,181,365218,59,0,0,120
6441,2,4,11,67,181,13448,0,0,0,120
0,2,4,11,67,61,3906,0,0,0,120
0,1,4,10,132,92,67957,0,0,0,120
0,2,4,11,67,66,29305,0,0,0,120
0,2,4,11,67,94,291550,0,0,0,120
61,2,4,11,67,55,4079,0,0,0,120
0,2,4,11,67,67,12328,0,0,0,120
0,2,4,12,67,181,23388,59,0,0,120
0,2,4,12,67,77,75884,0,3356,0,120
0,2,4,12,67,181,34210,0,354,0,120
0,2,4,12,67,181,3935,59,0,0,120
0,2,10,26,67,45,2659,0,0,0,120
0,2,4,11,67,66,4096,0,0,0,120
0,1,1,39,132,418,56932,0,7170,0,120
0,1,1,22,132,418,5125,0,0,0,120
0,2,4,12,67,181,17037,59,0,0,120
